Y,LandArea,PercentPopYoung,PercentPop65,NumPhysicians,NumHospitalBeds,PercentHSGrad,PercentCollDeg,PercentBelowPov,PercentUnemploy,PerCapitaIncome,TotalPIncome
0.39496,570,28.2,11.5,1158,2512,81.7,23.7,10,6.1,19295,9712
0.34814,222,27.5,12.2,1255,2041,75.5,21,8,6.9,19930,10021
0.31553,856,29.6,10.8,1007,1460,80.3,20.7,6.9,7.5,18674,9349
0.54238,181,28.3,13,2500,4018,68.1,22.4,27.3,6.1,16578,8238
0.30299,103,26.8,15,1362,2541,75.2,25,5.3,6.9,26248,12962
0.30574,156,31,12.2,1512,1140,85,28.8,8.1,4.3,20303,9862
0.41179,1399,27.7,11.1,666,1051,68.6,13.2,12,12,15453,7427
0.4128,1166,29.2,10.5,1585,1726,82.1,26.7,10.9,5.2,17518,8419
0.29926,497,25.5,12.3,707,2413,73.5,12.8,11.7,7.1,16327,7765
0.23249,780,29.4,13,1534,1668,80.7,24.4,7.1,5.6,19401,9099
0.37466,153,30.3,13.8,2867,3652,79.2,29,13.1,5.4,22156,10360
0.20323,2090,28.1,9.5,502,672,85.7,19.3,4.9,5.6,18545,8635
0.38194,340,27.8,13,1391,3021,76.2,17,12,8.8,17815,8237
0.24247,619,27.8,14.8,904,1665,73.6,17.6,10.9,9.6,19073,8703
0.26434,185,28.9,12.9,831,1912,68.8,18.7,7.6,8.1,21973,9955
0.41625,306,28.1,10.2,1237,1648,76,18.8,11.4,5.6,17101,7666
0.27582,340,31.7,6.3,622,983,85.8,33,3.8,4.1,21933,9820
0.27717,426,30.6,11.4,1038,1488,80.6,25.2,5,6.2,22284,9848
0.23453,772,26.9,8,551,298,89.8,30.7,4.1,4.1,20997,9206
0.14846,661,27.1,11.6,576,813,83.8,22.2,5.3,10.4,21500,9358
0.17379,636,22.4,23.2,513,1475,74.9,15.3,4.3,7.4,20974,9086
0.33136,640,27.2,10.2,692,1830,76.8,12.8,14,12.6,16829,7244
0.21826,416,29.6,8.8,616,617,81.1,24.6,3,5,22797,9740
0.26006,834,34.5,7.8,761,1199,85.4,35.3,5.5,3.5,20658,8746
0.13086,949,27.2,13.1,574,1241,70.5,16.7,5.3,5.3,18878,7982
0.12147,469,26.7,10.6,1147,1599,87,36.7,1.8,5.1,31520,13281
0.26006,331,29,11.4,1603,2889,84.5,24.9,8.1,2.9,19629,8174
0.3729,1875,23.9,18.6,559,1288,68,12.9,9.4,10.1,14835,6014
0.34071,1000,28.5,11.4,930,1840,82.4,22.2,8.3,4.5,19276,7781
0.23686,1019,26.2,16.6,563,1085,82.3,20.4,6.3,7.1,17668,7049
0.25234,2127,31.7,8,548,1026,88.3,25.8,8.1,6.1,16807,6673
0.64103,62,28.7,16.6,4189,7814,62.8,15.3,20.6,9,18113,7185
0.13034,805,28.8,10.7,719,1150,81.9,23.6,3.1,5.6,23008,9090
0.23412,248,35.3,5.9,679,530,88,25.5,4.3,5.4,17697,6956
0.27587,803,28.3,7.4,583,742,91.5,35.2,4.4,3.9,22507,8812
0.18556,1576,25.8,13.4,840,798,84.4,24.5,5.2,5.7,22055,8562
0.26712,1569,26.4,10.1,311,860,46.6,11.5,36.3,17.6,8899,3413
0.41592,456,31.5,9.2,841,1876,80.5,27.5,15.1,5.4,17881,6797
0.30409,1233,26.7,11.8,850,1898,70.1,15.5,17.5,7.2,14389,5448
0.09491,756,27.1,10.9,594,920,84.9,34.7,3,4.6,24732,9309
0.25736,1106,24.3,22.8,495,1349,75.4,14.8,7.9,6.9,15648,5801
0.25461,1495,27.4,10.8,558,1306,68.4,13,11.4,14.3,15238,5646
0.07445,1023,23.3,17.1,522,1306,77.7,15.4,8.6,6.9,17069,6321
0.18313,2739,32.8,12.3,875,1031,80,26.6,7.4,6,21902,8095
0.17466,576,24.9,14.4,595,1537,76,14.3,8.9,6.9,16898,6211
0.20344,1202,35.6,9.3,1603,1382,88.9,34.2,4.8,3.1,20087,7374
0.20042,1764,27,13.2,852,1346,84.4,20.6,9.8,6.2,16365,5914
0.16432,837,27.4,8.6,298,746,80.4,18,4.5,7.4,18787,6713
0.1787,3322,32.6,9.8,515,602,72.9,21.5,8.5,10.9,19465,6923
0.15238,477,27.5,9.4,1173,925,92.9,40.5,2.5,3.3,26156,9287
0.17119,433,32.6,4.7,271,439,86.7,29.6,2.9,4,19861,7009
0.42404,771,28.5,11.5,1510,2785,79,23.5,10.5,5.8,18225,6373
0.28212,650,30.4,11.9,676,1188,76.1,24.8,7.3,5.4,20349,7070
0.21756,828,29.7,8.2,481,503,82.7,18.7,6,7,17268,5878
0.11292,905,26.6,13.1,460,951,72.8,13.9,4.3,6.2,19502,6622
0.12827,859,26.1,15.6,567,1041,70,15.1,5.2,6.7,19655,6614
0.12843,877,30,10.3,587,1050,82.2,26.4,4,7.5,22581,7589
0.22422,509,30,12.7,984,2178,74.6,23.9,10.2,4.6,17382,5836
0.18442,804,21.5,24.7,509,1202,76.9,16.4,6.1,6.4,18877,6326
0.04982,891,24.1,19.7,594,1495,72,13.1,8.3,8.8,16405,5383
0.20153,226,29.2,13,994,1724,77.1,29.5,5.3,5.5,26026,8480
0.20504,792,28.2,11.9,650,1358,71.6,21,7.8,4.9,17874,5723
0.16721,521,27.8,9.3,473,1263,77.7,21.4,5,7.5,21684,6884
0.19489,4824,26.3,10.8,358,656,60.2,11.8,18,17.1,14710,4588
0.1263,724,27.6,10.1,353,294,88.2,29.8,4.8,4.4,19932,6210
0.10975,816,28,10.4,479,986,77.2,19.5,6.4,6.7,19788,6088
0.08935,556,24.4,9.8,687,677,88,27.1,2.2,4.1,23004,7010
0.19842,657,27.4,11.4,552,1268,81.2,19,5.6,5.9,19123,5753
0.2819,917,34.1,10.1,1357,1956,75.5,22.4,13.8,4.9,16015,4725
0.15077,524,30.4,14.7,1257,1246,80.9,28.3,6,4.5,21003,6145
0.1385,467,29.9,10.2,308,878,76,18.7,7.6,6.6,16750,4882
0.28606,836,27.3,10.1,584,1406,68.9,17,17.2,7.7,15124,4403
0.12254,347,26.3,15.4,637,1305,74.6,19.6,4.9,6.6,19785,5760
0.17518,308,27.9,10.3,357,352,84.6,26.3,5.3,6.1,17885,5142
0.24101,757,34.7,9.5,999,1207,79.4,28,10.1,4.6,17137,4896
0.23532,543,26.3,13.5,738,1573,72.5,19.7,10.2,5.9,18242,5209
0.19367,710,39.5,7.5,2188,1730,87.2,41.9,6.4,6,22782,6446
0.16091,4554,27.4,13.1,497,654,83,22.2,9.4,6.5,15701,4442
0.17337,559,37.4,8.7,729,1438,83.9,29.2,11,6.9,17458,4922
0.12509,745,18.4,32.3,308,941,66.9,9.1,7.9,8.3,13944,3920
0.12855,1868,23.1,11.5,462,345,85.7,23.6,4.7,4.2,19942,5561
0.19801,572,18.2,32.1,631,1363,81.3,21.9,4.6,5.1,24948,6930
0.09936,802,27.5,13.8,468,1417,77.5,16.2,9.5,7.1,16331,4500
0.10953,570,30.6,6.4,201,283,90.7,27.6,3.3,4.7,21123,5814
0.25247,653,37.4,6.2,291,586,80.3,16.6,12.1,6.4,12923,3548
0.20372,889,36.9,5,216,458,86.8,32.3,4.5,5.6,17801,4869
0.09864,493,26.4,11.6,291,941,75.3,12.3,9.1,9.5,16006,4340
0.21554,410,29.2,12.3,1194,1609,77.6,24.1,7.8,4.4,20645,5489
0.07194,174,25.5,10.1,931,745,83.3,33,4.1,5.3,26757,7103
0.19369,1192,29.6,7.6,439,318,78.8,13,8.8,5,16116,4271
0.13181,415,23.5,17.1,601,1473,74.6,14,12.8,6.7,16256,4305
0.17625,848,29.8,5.3,282,571,88.3,39.1,3.9,5.9,22303,5889
0.10605,1998,33.9,7,291,544,87.9,26.2,10.6,4.3,11467,3023
0.14563,664,26.8,12.7,329,1088,72.6,14.7,13.9,8.4,16190,4256
0.1438,664,29.2,11.9,522,1584,76.2,18.2,13.3,5.8,15392,4045
0.25194,54,41.7,10.5,1101,1471,72.7,16.8,15.1,6.4,16412,4287
0.18842,906,25.9,10.6,270,825,50,12,33.7,12.5,9728,2530
0.09087,802,29,11.4,535,741,79.8,24.8,3.6,5.1,22173,5753
0.07807,666,31.2,11.9,486,515,80.9,21.8,4.7,6.8,20259,5165
0.18831,6343,29.5,10.3,603,990,82.5,20.7,6.3,5,21327,5431
0.28841,869,29.5,11.2,1076,2118,75.2,26.4,16.7,6.3,16215,4126
0.19674,514,26.5,12.7,521,910,76.3,16.7,7.7,7.9,18376,4648
0.09234,1213,27.7,15.5,437,905,75.1,16.7,8.8,6.7,16477,4133
0.10666,725,26.2,13.9,275,1120,75.8,14.4,8.5,7.9,17980,4481
0.22091,882,25.2,13.3,898,1868,73.4,18.2,19.1,7.1,16337,4056
0.06452,374,26.9,15,459,933,73.1,16.7,4.9,6.8,18336,4531
0.10637,457,28.2,14.1,417,927,76.1,19.2,7.1,5.7,17211,4252
0.07295,695,29,9.2,343,514,86.2,25.9,3.2,8,21770,5352
0.13816,836,29.1,13,732,1104,85,27.6,5.7,5.7,21362,5194
0.08308,305,28.6,10.8,783,374,86.3,38.3,1.4,4.1,33180,7972
0.21677,904,25.8,14,449,1724,74.4,15.5,15.5,6.7,17418,4170
0.06635,805,31.4,8.9,399,933,80.2,30.1,8.4,5.2,18990,4537
0.10706,628,25.3,10.6,256,299,83.9,16.8,7,6.6,16790,3997
0.11563,525,26.8,14.3,824,1425,77.6,18.6,7.2,5.5,18348,4363
0.0946,520,24.7,12.3,1001,488,91.9,44,3,4,37541,8638
0.09746,325,28,10.8,199,339,77.5,18.1,4.7,7.1,18523,4262
0.13707,446,29.9,11.3,429,390,81.9,29.7,6.2,8,22025,5060
0.14825,1185,25.7,14.3,376,498,78.7,17.5,9.4,5.7,16022,3661
0.07315,616,23.9,14.4,225,925,75.2,11.4,9.4,7.9,16144,3678
0.17198,811,27,12.6,375,832,63,14.3,8.8,5.5,15776,3578
0.09433,875,26.8,4.9,231,301,80.9,30.2,6.9,3.8,18301,4125
0.17378,285,34.9,9.9,1248,1851,80.2,30.6,10.2,3.8,19320,4354
0.14124,743,34.2,7.6,452,387,91.3,42.1,5.6,3.5,21421,4827
0.25167,561,29,14.5,379,990,72.9,16.4,6.4,8.3,24035,5392
0.15306,562,32.4,10.6,614,793,83.4,27.1,8.9,5.9,18288,4086
0.14509,900,34.1,9.8,655,1562,74.2,23.4,13.2,5.6,15443,3438
0.09437,523,25.8,15.1,239,893,75.8,13.6,8.6,8.3,16647,3675
0.04368,459,24.3,19.8,429,1136,73.3,14.8,7.8,7.9,16963,3716
0.18586,399,26.9,10.5,950,1592,75.8,19.3,12.5,7,17744,3858
0.08103,3305,31.4,14.1,424,522,83.3,22.9,6.8,5.8,17221,3740
0.18732,440,28.5,12.8,494,1112,73.7,18.6,13.6,4.3,17776,3856
0.09001,338,32.3,3,196,153,87.8,27.6,2.3,4.3,20543,4431
0.05481,228,26.4,12,233,359,81.1,17.5,3.6,5.7,19692,4244
0.16414,839,33.9,10.8,389,778,88.1,27.6,6,2.2,17816,3806
0.07785,561,29,6.9,172,613,83.3,21.2,3.5,6.4,18753,3993
0.07435,707,28.6,15,460,816,78.9,20.7,6.5,5.9,18058,3831
0.1619,809,25.5,12,335,1193,74.8,13,14.7,8.8,16904,3583
0.16916,741,21,28.1,322,855,75.6,15.5,6.8,5.8,17997,3810
0.17388,790,28.4,11.6,419,1102,75.3,24.2,14.1,5.9,17469,3653
0.13551,675,31,13.3,490,1785,78.9,20.7,9.2,4.8,16630,3458
0.10246,903,23.9,15.7,569,1342,72.4,17.6,12.3,7.5,17192,3569
0.09701,1055,27.6,10.4,367,557,87.2,24.9,6.2,4.1,18786,3866
0.04526,857,23.7,17.5,236,687,73.2,13.6,9.7,7,16625,3401
0.07518,6226,24.3,16.9,406,1391,80.3,17.3,9.7,6.5,15419,3056
0.05247,550,28.6,13.4,375,733,81,22.9,2.8,4.6,19254,3759
0.1486,1579,21.6,22.1,235,451,69.6,11.5,10.8,8.6,13802,2689
0.08101,529,29.6,10.8,289,632,82.6,17.7,6.7,4.6,18490,3598
0.23363,667,38.5,8.2,413,823,84.9,37.1,9.4,3.9,16422,3161
0.08692,1387,28.7,7.8,156,318,75.5,15.1,7.7,5.6,17951,3441
0.10865,1059,34.6,8.8,513,572,79.1,17.2,12.2,6.7,13536,2587
0.08996,396,27.7,10.7,233,244,86.6,19.8,7.5,5.2,17009,3227
0.17918,324,31.1,10,1032,1787,70.9,17.3,14.8,4.9,15941,3024
0.16486,1042,30,13.6,301,560,71.6,16.6,13.9,6.4,14925,2823
0.15139,4296,25.1,13,231,518,66.1,13.7,15.6,11.6,15374,2903
0.06279,305,26.2,6.1,166,248,89.9,23.5,5.5,4.5,13394,2517
0.0614,566,28.9,9.8,163,313,79.8,18.7,3.8,6.5,18360,3447
0.09057,252,29.8,6.1,695,208,91.1,46.9,2.2,4.1,27546,5160
0.07441,396,22.1,22,336,384,88.4,28.1,5.8,11.1,23267,4342
0.08921,2601,32.1,9.6,278,409,88.6,32.3,6.6,4.1,17140,3190
0.04088,435,23.6,16.9,197,616,74.9,11.9,10.8,9.7,15162,2822
0.04854,604,26.3,9.4,160,371,84.5,21,2.5,7.1,21855,4005
0.12483,620,26,14.2,581,1219,77.9,19.5,11.3,7.2,18342,3353
0.09469,1044,25.5,8.6,125,340,75.5,19.4,9.4,5.5,17084,3113
0.06735,440,28.8,8.3,247,333,81.6,21.5,4.1,6.7,20941,3814
0.08939,1640,28.2,17.3,327,625,77.6,19.5,12.2,9.4,15051,2741
0.15419,143,32.4,5.8,191,346,77.2,14.7,7.3,5.8,16171,2944
0.15477,291,33.7,10.7,1944,1496,78.9,33.4,8.7,3.6,19238,3498
0.18218,874,40.1,9.3,1180,1096,82.7,34.6,14.4,4.2,16058,2916
0.05281,812,28.4,10.3,215,221,83,25.2,4.4,5.9,18857,3418
0.11454,216,30.6,10.8,360,1168,71.5,16.6,14.9,4.6,15505,2780
0.08587,1929,28.2,9.2,185,337,63.1,12,15.4,14.6,13961,2491
0.11929,868,25.8,13.8,600,1330,81.8,22.4,7.2,4.8,19601,3497
0.11865,357,27.3,12.1,142,368,60.9,10.8,8.2,6.2,16319,2857
0.1111,333,26,12,234,532,76.4,16.5,7.9,6.5,18426,3225
0.09512,656,24.8,16.1,469,725,74.5,19.1,8.2,4.9,16934,2960
0.12194,536,33.9,6.7,217,319,83.9,25.9,7,4.8,14443,2517
0.03593,920,25.4,14.1,278,411,80.9,25,2.4,7,25161,4380
0.11508,997,41.6,8.8,382,805,87.5,34.1,8,4.5,16957,2934
0.08904,1404,23.5,12,329,322,85.1,22.7,5.3,6.8,20168,3485
0.03128,657,28.5,8.3,61,230,71.6,9,6,8.7,15896,2724
0.12526,26,37.6,11.3,615,781,87.5,52.3,4.3,3.6,30242,5169
0.11776,68,33.9,9.3,354,836,79.3,18.4,12.2,6.5,15327,2606
0.06399,1071,26.6,10.9,248,845,70.3,14.7,15.5,7.8,14968,2517
0.09814,701,27.8,8.9,145,259,77.3,21,6.3,4.1,18126,3038
0.07043,581,30,10.8,313,764,74.7,16.3,15.4,6.7,13691,2264
0.04701,1127,27.8,13,258,413,76.6,21.6,5.6,5.9,18824,3112
0.08405,235,27,15.7,411,1376,75.2,16,9.1,5.7,18093,2986
0.10599,270,31.1,8.3,361,1018,73.3,22.5,16.2,5,16868,2779
0.06027,991,26.4,12.6,172,404,79.5,19,4.7,6.9,17908,2947
0.03187,688,23,18.7,301,892,71.2,10.8,11.2,9.2,14473,2360
0.18902,151,27.4,13,494,1019,69.9,10.3,13.9,7.4,14134,2290
0.12229,571,25.2,13.7,199,688,74.7,16.7,11.6,9.1,16232,2619
0.07882,727,25.3,11.7,283,500,86.5,24.7,7.1,5.9,17312,2791
0.07302,170,26.2,15.1,264,359,76.8,20.5,3.7,8.6,20086,3237
0.13845,550,26.2,13.1,451,661,84.4,22.3,7.4,4.7,19558,3148
0.12181,509,25.8,13,182,660,74.2,11.1,12.4,12,14767,2348
0.09191,576,26,11.1,266,573,82.5,18,7.8,5.7,15301,2423
0.07573,464,26.8,11.2,164,478,72.8,14.2,5.3,6.4,16770,2619
0.05297,654,29.8,13.2,213,616,77.7,19.5,6.6,6.3,17774,2745
0.11085,397,28.3,10.4,108,693,84.7,20,4.2,5.7,18395,2822
0.02119,779,22.9,20,147,634,68.4,8.1,7.7,9.7,15853,2419
0.07099,953,19,27.5,167,664,70.6,12.7,7.9,8.9,17496,2661
0.09426,2026,22.4,22.8,282,431,79,22.3,6.4,7.5,25589,3892
0.0342,789,27,13.5,127,261,78.6,15.6,7.1,6.8,17251,2622
0.08427,341,28.6,8.4,212,210,77.1,16.9,7,6.1,16924,2572
0.11712,929,26.2,13.7,349,795,75.7,19.8,12.6,6.6,17511,2650
0.12377,1325,33.3,11.4,299,731,69.6,20,13.5,5.4,15113,2275
0.04939,663,28.7,9.4,172,241,80.4,22,3.5,6,19954,2997
0.05114,452,28.1,8.7,82,151,72.8,14.5,7.4,6,16231,2438
0.09842,573,22.9,21,176,425,71.7,13.1,8.5,13.8,14137,2123
0.12701,250,27.5,12.9,438,1010,68.2,17,15.9,4.1,17548,2632
0.07505,767,49.7,4.4,104,133,83,13.4,9.8,5.6,10190,1527
0.0863,707,27.1,12.3,127,573,77.7,12.9,9.4,9.9,15750,2359
0.06364,206,26.1,16.5,403,721,80.7,23,5.7,5.6,20679,3087
0.07154,427,24.9,15,209,769,77.4,15,10.2,7.5,17818,2650
0.10131,400,25.3,13.8,173,463,73.4,12.2,10.4,6.5,16676,2461
0.07336,3786,22.8,14.1,267,468,78.4,13.7,11,10.3,16277,2393
0.04749,3396,30,11.5,268,598,79.1,17.7,9.5,8,15521,2275
0.02547,529,38.2,11.6,348,236,83,31.9,5.7,7.7,17853,2617
0.0717,2785,22.1,16.2,263,522,80.1,17.6,9.7,7.6,15582,2281
0.05365,392,26.5,6.6,113,92,90,26.2,3.6,4.6,20682,3017
0.06568,725,25.9,12.3,143,431,74.8,10.7,9.2,11.8,17480,2545
0.03612,790,22.9,18,124,409,67.8,9.3,17.6,9.4,14051,2042
0.07525,718,25.5,13.6,199,456,64,12.9,8.6,6.6,14205,2063
0.04447,854,24.2,8.9,282,512,76.9,23.1,11.1,6.2,17129,2475
0.12459,1134,28.2,12.7,175,505,74.3,16,11.6,7.7,14693,2117
0.05153,936,30.8,9.3,178,482,83.8,21,7.8,6.7,15803,2272
0.06236,413,24.6,14.3,377,982,66.8,15.6,10.4,4.4,15747,2261
0.03409,369,28.4,13.1,340,235,82.6,28.2,2.6,5.8,24132,3456
0.02769,492,33.6,9.4,101,285,79.3,17.6,7.6,6,16031,2286
0.10605,611,28.3,11.2,268,1043,71.6,18.9,19.6,6.4,13869,1972
0.06925,163,28.3,11.5,263,733,74.4,17,8.2,5.4,16935,2405
0.05178,1062,25.7,15.7,164,653,74.4,14.2,9.9,7.7,15197,2156
0.1065,1012,36.5,9.6,339,168,79.1,30.3,9.8,7.2,19727,2783
0.0486,640,28.2,11.1,228,511,81.5,16.7,4.6,4.9,17182,2414
0.0617,439,30.3,12.8,242,528,80.6,18.2,5.3,4.8,17645,2476
0.05724,1124,29.1,7.6,88,185,81.4,24.6,7.6,3.8,14934,2084
0.07643,721,26.2,12.6,171,491,78.2,13.3,7.8,9.7,16742,2336
0.03862,931,26,16.9,375,598,77.9,20.9,6.3,10.1,20068,2797
0.09071,489,26.7,13.5,181,534,63.4,10.8,10.2,10.7,16819,2322
0.05221,415,28.5,9.8,134,210,82.4,26,7.1,5.2,18161,2483
0.0981,709,25.1,13.3,172,566,76.8,13.8,11,8.5,15944,2168
0.0885,3807,31.4,8.8,171,240,70.4,21.9,20.7,7.4,11379,1542
0.08376,52,33,9.6,163,251,79.7,19.1,8.8,6.8,14743,1973
0.06726,551,26.1,10.4,83,182,74.1,10.5,6.9,11.1,17278,2308
0.12202,3357,28.5,7.9,107,382,47.8,11.1,33.1,9.8,8973,1196
0.07901,3993,29.6,10.2,172,281,74.9,18.4,10.6,4.5,15874,2093
