Y,X1,X2,X3,X4,X5
1237,448306,7666,0,0,1
622,447745,9820,0,0,1
1038,441946,9848,1,0,0
551,438430,9206,0,0,0
576,435276,9358,1,0,0
513,433203,9086,1,0,0
692,430459,7244,0,1,0
616,427239,9740,0,0,1
761,423380,8746,0,0,1
574,422822,7982,1,0,0
1147,421353,13281,1,0,0
1603,416444,8174,0,1,0
559,405382,6014,0,0,1
930,403662,7781,0,1,0
563,398978,7049,0,0,1
548,397014,6673,0,0,0
4189,396685,7185,0,1,0
719,395066,9090,1,0,0
679,393069,6956,0,0,1
583,391511,8812,0,0,0
840,388222,8562,0,0,0
311,383545,3413,0,0,1
841,380105,6797,0,0,1
850,378643,5448,0,0,1
594,376396,9309,1,0,0
495,370712,5801,0,0,1
558,370522,5646,0,0,0
522,370321,6321,1,0,0
875,369608,8095,0,0,0
595,367585,6211,0,1,0
1603,367085,7374,0,1,0
852,361364,5914,0,0,0
298,357313,6713,0,1,0
515,355660,6923,0,0,0
1173,355054,9287,0,1,0
271,352910,7009,0,0,1
1510,349660,6373,0,0,1
676,347420,7070,0,0,1
481,340421,5878,0,0,0
460,339574,6622,1,0,0
567,336523,6614,1,0,0
587,336073,7589,1,0,0
984,335749,5836,0,0,1
509,335113,6326,0,0,1
594,328149,5383,1,0,0
994,325824,8480,1,0,0
650,320167,5723,0,0,1
473,317471,6884,0,1,0
358,311921,4588,0,0,0
353,311554,6210,0,0,0
479,307647,6088,1,0,0
687,304715,7010,0,1,0
552,300836,5753,0,1,0
1357,295039,4725,0,0,1
1257,292594,6145,1,0,0
308,291479,4882,0,1,0
584,291145,4403,0,0,1
637,291130,5760,1,0,0
357,287529,5142,0,0,1
999,285720,4896,0,0,1
738,285536,5209,0,0,1
2188,282937,6446,0,1,0
497,282912,4442,0,0,0
729,281912,4922,0,1,0
308,281131,3920,0,0,1
462,278850,5561,0,0,0
631,277776,6930,0,0,1
468,275572,4500,1,0,0
201,275227,5814,0,1,0
291,274566,3548,0,0,1
216,273525,4869,0,0,1
291,271126,4340,0,1,0
1194,265878,5489,0,0,1
931,265475,7103,1,0,0
439,265038,4271,0,0,0
601,264806,4305,0,1,0
282,264036,5889,0,0,1
291,263590,3023,0,0,0
329,262852,4256,0,1,0
522,262798,4045,0,0,1
1101,261229,4287,0,0,1
270,260120,2530,0,0,1
535,259462,5753,1,0,0
486,254957,5165,1,0,0
603,254667,5431,0,0,0
1076,254441,4126,0,0,1
521,252913,4648,0,1,0
437,250836,4133,1,0,0
275,249238,4481,0,1,0
898,248253,4056,0,0,1
459,247105,4531,1,0,0
417,247052,4252,0,1,0
343,245845,5352,1,0,0
732,243135,5194,1,0,0
783,240279,7972,1,0,0
449,239397,4170,0,0,1
399,238912,4537,0,0,1
256,238053,3997,0,0,0
824,237813,4363,1,0,0
1001,230096,8638,0,0,0
199,230082,4262,1,0,0
429,229734,5060,0,0,0
376,228483,3661,0,0,0
225,227813,3678,0,1,0
375,226800,3578,0,0,1
231,225421,4125,0,0,1
1248,225366,4354,0,0,1
452,225339,4827,0,0,0
379,224327,5392,1,0,0
614,223411,4086,0,1,0
655,222636,3438,0,0,1
239,220756,3675,1,0,0
429,219039,3716,1,0,0
950,217399,3858,0,0,1
424,217162,3740,0,0,0
494,216935,3856,0,0,1
196,215686,4431,0,0,1
233,215499,4244,0,1,0
389,213641,3806,0,1,0
172,212907,3993,0,1,0
460,212160,3831,1,0,0
335,211946,3583,0,1,0
322,211707,3810,0,0,1
419,209085,3653,0,0,1
490,207949,3458,0,1,0
569,207619,3569,0,0,1
367,205775,3866,0,0,0
236,204584,3401,1,0,0
406,198213,3056,0,1,0
375,195257,3759,1,0,0
235,194833,2689,0,0,1
289,194594,3598,0,1,0
413,192493,3161,0,0,1
156,191707,3441,0,0,1
513,191088,2587,0,0,1
233,189731,3227,0,0,0
1032,189719,3024,0,0,1
301,189123,2823,0,0,1
231,188823,2903,0,0,0
166,187941,2517,0,0,0
163,187768,3447,0,1,0
695,187328,5160,0,0,1
336,186605,4342,1,0,0
278,186136,3190,0,0,0
197,186093,2822,1,0,0
160,183241,4005,0,1,0
581,182827,3353,0,1,0
125,182201,3113,0,0,1
247,182132,3814,0,0,1
327,182120,2741,0,0,0
191,182052,2944,0,0,1
1944,181835,3498,0,0,1
1180,181596,2916,0,0,1
215,181276,3418,1,0,0
360,179278,2780,0,0,1
185,178403,2491,0,0,0
600,178386,3497,0,1,0
142,175093,2857,0,0,1
234,175034,3225,0,1,0
469,174821,2960,0,0,1
217,174253,2517,0,0,1
278,174092,4380,1,0,0
382,173025,2934,0,1,0
329,172796,3485,0,0,0
61,171380,2724,0,1,0
615,170936,5169,0,0,1
354,170045,2606,0,0,1
248,168134,2517,0,0,1
145,167611,3038,0,0,1
313,165365,2264,0,0,1
258,165304,3112,1,0,0
411,165058,2986,0,1,0
361,164762,2779,0,0,1
172,164587,2947,1,0,0
301,163029,2360,1,0,0
494,161993,2290,0,1,0
199,161378,2619,0,1,0
283,161238,2791,0,0,0
264,161135,3237,1,0,0
451,160976,3148,0,1,0
182,158983,2348,0,1,0
266,158330,2423,0,0,0
164,156198,2619,0,1,0
213,154429,2745,1,0,0
108,153411,2822,0,1,0
147,152585,2419,1,0,0
167,152104,2661,0,0,1
282,152099,3892,0,0,1
127,152013,2622,1,0,0
212,151976,2572,0,0,1
349,151309,2650,0,0,1
299,150522,2275,0,0,1
172,150208,2997,0,0,1
82,150187,2438,0,1,0
176,150171,2123,0,0,1
438,149967,2632,0,0,1
104,149838,1527,0,0,1
127,149756,2359,0,1,0
403,149285,3087,1,0,0
209,148723,2650,0,1,0
173,147548,2461,0,1,0
267,147036,2393,0,0,0
268,146601,2275,1,0,0
348,146568,2617,1,0,0
263,146389,2281,0,0,0
113,145896,3017,0,1,0
143,145607,2545,0,1,0
124,145351,2042,1,0,0
199,145196,2063,0,0,1
282,144508,2475,0,0,1
175,144053,2117,0,0,1
178,143776,2272,0,0,1
377,143596,2261,0,0,1
340,143196,3456,1,0,0
101,142585,2286,0,1,0
268,142191,1972,0,0,1
263,142031,2405,0,0,1
164,141895,2156,1,0,0
339,141092,2783,0,0,0
228,140510,2414,0,1,0
242,140320,2476,0,1,0
88,139551,2084,0,0,1
171,139510,2336,0,1,0
375,139352,2797,1,0,0
181,138053,2322,1,0,0
134,136731,2483,0,1,0
172,135982,2168,0,1,0
171,135510,1542,0,0,0
163,133793,1973,0,0,1
83,133600,2308,0,1,0
107,133239,1196,0,0,1
172,131821,2093,0,0,0
696,131761,2627,1,0,0
246,131556,1923,0,0,1
121,131497,2198,0,0,1
133,130943,3196,1,0,0
140,130669,2093,0,1,0
232,130598,2070,0,1,0
213,130542,1929,1,0,0
171,129180,2449,0,1,0
170,128932,2265,0,1,0
164,128699,2824,1,0,0
101,128300,2106,0,1,0
140,128181,2222,0,1,0
203,127780,2045,0,0,0
178,126994,1881,0,0,1
78,126677,1910,0,0,1
144,126137,2042,0,1,0
147,125995,2425,0,0,0
376,123809,2294,0,1,0
178,123786,1916,1,0,0
98,123692,2227,0,1,0
142,123372,2714,0,0,1
259,123051,1747,0,0,0
243,122378,2095,0,0,1
125,122354,2312,0,1,0
170,121862,1540,0,0,1
79,121771,1806,1,0,0
136,121082,1971,1,0,0
150,121003,1836,1,0,0
128,120940,2165,0,0,1
182,120317,2013,0,0,0
297,120284,2059,0,0,1
237,120005,2472,1,0,0
217,119659,1878,0,1,0
204,119655,1917,0,0,1
207,119118,1922,0,0,0
153,118934,1756,0,0,1
199,118791,1753,0,1,0
232,118710,1873,1,0,0
133,118570,1838,0,0,1
179,118412,2060,0,0,1
171,117206,2112,0,1,0
61,116379,1326,0,0,0
133,116034,1598,0,0,1
241,115904,1986,1,0,0
68,115645,2446,0,1,0
172,115400,1882,0,1,0
170,115243,1553,0,0,1
211,114344,1711,0,0,1
162,113744,1877,1,0,0
262,113419,1959,0,0,0
208,113409,1671,0,0,1
128,113269,1985,0,1,0
142,112560,1951,0,0,0
746,112379,1930,0,1,0
132,111974,1423,1,0,0
101,111723,1843,0,1,0
127,111486,1475,0,0,1
652,111183,3524,0,0,1
123,110993,1659,1,0,0
183,110975,1816,0,0,1
124,110943,1687,1,0,0
345,110765,2511,0,0,0
114,110605,1736,0,0,1
162,110006,2140,1,0,0
168,109755,1816,0,1,0
82,109303,1587,0,0,0
172,108978,1555,0,1,0
257,108936,2798,0,1,0
80,108276,1364,0,1,0
132,108213,1873,0,0,1
496,107924,1711,0,0,1
184,107776,3261,1,0,0
98,107728,1772,0,0,1
114,107714,1474,0,0,0
149,107066,1783,0,1,0
104,106913,1723,0,1,0
118,106895,1228,0,0,0
139,106611,2062,0,0,1
69,106546,1568,0,0,1
1814,106470,2184,0,1,0
179,106107,1595,0,1,0
164,105986,1699,0,0,1
198,105259,1700,1,0,0
83,105179,1141,0,0,1
166,104948,1761,0,0,1
113,104666,1397,0,0,1
139,104233,1791,1,0,0
114,103877,1876,0,1,0
86,103461,1691,0,1,0
96,103281,1706,0,0,1
343,102874,1674,0,1,0
88,102637,1211,0,0,1
39,102583,1655,0,1,0
123,102525,1853,1,0,0
82,101469,1411,0,0,0
84,101461,1670,0,1,0
67,101154,1954,0,0,1
98,101115,1407,0,0,1
193,100900,2737,0,0,1
87,100498,1323,0,0,1
192,100374,1857,0,0,0
122,100043,1647,0,0,1
